Título                                             ,Enlace                                          ,ID     ,Año  ,Enlace de la Portada
Dune                                               ,https://www.filmaffinity.com/es/film847055.html ,847055 ,2021 ,https://pics.filmaffinity.com/dune-209834814-large.jpg
No mires arriba                                    ,https://www.filmaffinity.com/es/film521393.html ,521393 ,2021 ,https://pics.filmaffinity.com/don_t_look_up-492729563-large.jpg
El juego del calamar                               ,https://www.filmaffinity.com/es/film540777.html ,540777 ,2021 ,https://pics.filmaffinity.com/squid_game-688981365-large.jpg
Spider-Man: No Way Home                            ,https://www.filmaffinity.com/es/film491812.html ,491812 ,2021 ,https://pics.filmaffinity.com/spider_man_no_way_home-642739124-large.jpg
El buen patrón                                     ,https://www.filmaffinity.com/es/film925403.html ,925403 ,2021 ,https://pics.filmaffinity.com/el_buen_patron-709915657-large.jpg
El poder del perro                                 ,https://www.filmaffinity.com/es/film315057.html ,315057 ,2021 ,https://pics.filmaffinity.com/the_power_of_the_dog-646166187-large.jpg
El último duelo                                    ,https://www.filmaffinity.com/es/film299644.html ,299644 ,2021 ,https://pics.filmaffinity.com/the_last_duel-563139924-large.jpg
Mare of Easttown                                   ,https://www.filmaffinity.com/es/film310747.html ,310747 ,2021 ,https://pics.filmaffinity.com/mare_of_easttown-736704836-large.jpg
Tiempo                                             ,https://www.filmaffinity.com/es/film326817.html ,326817 ,2021 ,https://pics.filmaffinity.com/old-485235995-large.jpg
Nadie                                              ,https://www.filmaffinity.com/es/film907561.html ,907561 ,2021 ,https://pics.filmaffinity.com/nobody-390795243-large.jpg
Luca                                               ,https://www.filmaffinity.com/es/film775531.html ,775531 ,2021 ,https://pics.filmaffinity.com/luca-907827591-large.jpg
El Escuadrón Suicida                               ,https://www.filmaffinity.com/es/film124669.html ,124669 ,2021 ,https://pics.filmaffinity.com/the_suicide_squad-629689677-large.jpg
Viuda negra                                        ,https://www.filmaffinity.com/es/film996278.html ,996278 ,2021 ,https://pics.filmaffinity.com/black_widow-372790622-large.jpg
Sin tiempo para morir                              ,https://www.filmaffinity.com/es/film535533.html ,535533 ,2021 ,https://pics.filmaffinity.com/no_time_to_die-525355918-large.jpg
Cruella                                            ,https://www.filmaffinity.com/es/film695092.html ,695092 ,2021 ,https://pics.filmaffinity.com/cruella-196211257-large.jpg
Bajocero                                           ,https://www.filmaffinity.com/es/film994765.html ,994765 ,2021 ,https://pics.filmaffinity.com/bajocero-777287160-large.jpg
Encanto                                            ,https://www.filmaffinity.com/es/film799681.html ,799681 ,2021 ,https://pics.filmaffinity.com/encanto-246546841-large.jpg
Free Guy                                           ,https://www.filmaffinity.com/es/film923498.html ,923498 ,2021 ,https://pics.filmaffinity.com/free_guy-297648487-large.jpg
Licorice Pizza                                     ,https://www.filmaffinity.com/es/film571166.html ,571166 ,2021 ,https://pics.filmaffinity.com/licorice_pizza-862632135-large.jpg
Las leyes de la frontera                           ,https://www.filmaffinity.com/es/film534787.html ,534787 ,2021 ,https://pics.filmaffinity.com/las_leyes_de_la_frontera-666264674-large.jpg
Eternals                                           ,https://www.filmaffinity.com/es/film185733.html ,185733 ,2021 ,https://pics.filmaffinity.com/eternals-388789083-large.jpg
Matrix Resurrections                               ,https://www.filmaffinity.com/es/film517462.html ,517462 ,2021 ,https://pics.filmaffinity.com/the_matrix_resurrections-864937945-large.jpg
La Liga de la Justicia de Zack Snyder              ,https://www.filmaffinity.com/es/film727076.html ,727076 ,2021 ,https://pics.filmaffinity.com/zack_snyder_s_justice_league-554207771-large.jpg
Última noche en el Soho                            ,https://www.filmaffinity.com/es/film822303.html ,822303 ,2021 ,https://pics.filmaffinity.com/last_night_in_soho-749682871-large.jpg
Madres paralelas                                   ,https://www.filmaffinity.com/es/film242779.html ,242779 ,2021 ,https://pics.filmaffinity.com/madres_paralelas-335287792-large.jpg
Shang-Chi y la leyenda de los diez anillos         ,https://www.filmaffinity.com/es/film404534.html ,404534 ,2021 ,https://pics.filmaffinity.com/shang_chi_and_the_legend_of_the_ten_rings-111813706-large.jpg
La peor persona del mundo                          ,https://www.filmaffinity.com/es/film818283.html ,818283 ,2021 ,https://pics.filmaffinity.com/verdens_verste_menneske-473030750-large.jpg
Maixabel                                           ,https://www.filmaffinity.com/es/film375190.html ,375190 ,2021 ,https://pics.filmaffinity.com/maixabel-491379276-large.jpg
El método Williams                                 ,https://www.filmaffinity.com/es/film580527.html ,580527 ,2021 ,https://pics.filmaffinity.com/king_richard-212327278-large.jpg
Bruja Escarlata y Visión                           ,https://www.filmaffinity.com/es/film824903.html ,824903 ,2021 ,https://pics.filmaffinity.com/wandavision-568232831-large.jpg
As bestas                                          ,https://www.filmaffinity.com/es/film227540.html ,227540 ,2022 ,https://pics.filmaffinity.com/as_bestas-275688233-large.jpg
The Batman                                         ,https://www.filmaffinity.com/es/film911057.html ,911057 ,2022 ,https://pics.filmaffinity.com/the_batman-449856406-large.jpg
Todo a la vez en todas partes                      ,https://www.filmaffinity.com/es/film506901.html ,506901 ,2022 ,https://pics.filmaffinity.com/everything_everywhere_all_at_once-897692218-large.jpg
Top Gun: Maverick                                  ,https://www.filmaffinity.com/es/film395388.html ,395388 ,2022 ,https://pics.filmaffinity.com/top_gun_maverick-537976462-large.jpg
Avatar: El sentido del agua                        ,https://www.filmaffinity.com/es/film899895.html ,899895 ,2022 ,https://pics.filmaffinity.com/avatar_the_way_of_water-722646748-large.jpg
Bullet Train                                       ,https://www.filmaffinity.com/es/film142416.html ,142416 ,2022 ,https://pics.filmaffinity.com/bullet_train-757922812-large.jpg
Puñales por la espalda: El misterio de Glass Onion ,https://www.filmaffinity.com/es/film716846.html ,716846 ,2022 ,https://pics.filmaffinity.com/glass_onion_a_knives_out_mystery-428355632-large.jpg
El hombre del norte                                ,https://www.filmaffinity.com/es/film880392.html ,880392 ,2022 ,https://pics.filmaffinity.com/the_northman-710039658-large.jpg
El menú                                            ,https://www.filmaffinity.com/es/film774803.html ,774803 ,2022 ,https://pics.filmaffinity.com/the_menu-905441147-large.jpg
Babylon                                            ,https://www.filmaffinity.com/es/film771693.html ,771693 ,2022 ,https://pics.filmaffinity.com/babylon-747027954-large.jpg
Los renglones torcidos de Dios                     ,https://www.filmaffinity.com/es/film927664.html ,927664 ,2022 ,https://pics.filmaffinity.com/los_renglones_torcidos_de_dios-670212742-large.jpg
Elvis                                              ,https://www.filmaffinity.com/es/film589077.html ,589077 ,2022 ,https://pics.filmaffinity.com/elvis-647942773-large.jpg
Doctor Strange en el multiverso de la locura       ,https://www.filmaffinity.com/es/film563654.html ,563654 ,2022 ,https://pics.filmaffinity.com/doctor_strange_in_the_multiverse_of_madness-610981386-large.jpg
Sin novedad en el frente                           ,https://www.filmaffinity.com/es/film621534.html ,621534 ,2022 ,https://pics.filmaffinity.com/im_westen_nichts_neues-582072472-large.jpg
La ballena (The Whale)                             ,https://www.filmaffinity.com/es/film160764.html ,160764 ,2022 ,https://pics.filmaffinity.com/the_whale-293958603-large.jpg
La Casa del Dragón                                 ,https://www.filmaffinity.com/es/film388341.html ,388341 ,2022 ,https://pics.filmaffinity.com/house_of_the_dragon-678918948-large.jpg
Almas en pena de Inisherin                         ,https://www.filmaffinity.com/es/film941659.html ,941659 ,2022 ,https://pics.filmaffinity.com/the_banshees_of_inisherin-847183557-large.jpg
"Argentina, 1985"                                  ,https://www.filmaffinity.com/es/film117089.html ,117089 ,2022 ,https://pics.filmaffinity.com/argentina_1985-430372554-large.jpg
Cinco lobitos                                      ,https://www.filmaffinity.com/es/film309973.html ,309973 ,2022 ,https://pics.filmaffinity.com/cinco_lobitos-443979892-large.jpg
El triángulo de la tristeza                        ,https://www.filmaffinity.com/es/film968107.html ,968107 ,2022 ,https://pics.filmaffinity.com/triangle_of_sadness-259032337-large.jpg
Modelo 77                                          ,https://www.filmaffinity.com/es/film677826.html ,677826 ,2022 ,https://pics.filmaffinity.com/modelo_77-740028363-large.jpg
Thor: Love and Thunder                             ,https://www.filmaffinity.com/es/film255760.html ,255760 ,2022 ,https://pics.filmaffinity.com/thor_love_and_thunder-566116133-large.jpg
El señor de los anillos: Los anillos de poder      ,https://www.filmaffinity.com/es/film622579.html ,622579 ,2022 ,https://pics.filmaffinity.com/lord_of_the_rings_the_rings_of_power-159886546-large.jpg
Nop                                                ,https://www.filmaffinity.com/es/film230375.html ,230375 ,2022 ,https://pics.filmaffinity.com/nope-999319780-large.jpg
Uncharted                                          ,https://www.filmaffinity.com/es/film748908.html ,748908 ,2022 ,https://pics.filmaffinity.com/uncharted-417211360-large.jpg
Stranger Things 4                                  ,https://www.filmaffinity.com/es/film206372.html ,206372 ,2022 ,https://pics.filmaffinity.com/stranger_things_4-530118338-large.jpg
Smile                                              ,https://www.filmaffinity.com/es/film441844.html ,441844 ,2022 ,https://pics.filmaffinity.com/smile-843278209-large.jpg
The Bear                                           ,https://www.filmaffinity.com/es/film948192.html ,948192 ,2022 ,https://pics.filmaffinity.com/the_bear-982511761-large.jpg
Los Fabelman                                       ,https://www.filmaffinity.com/es/film216826.html ,216826 ,2022 ,https://pics.filmaffinity.com/the_fabelmans-208653241-large.jpg
Red                                                ,https://www.filmaffinity.com/es/film896906.html ,896906 ,2022 ,https://pics.filmaffinity.com/turning_red-326602450-large.jpg
Oppenheimer                                        ,https://www.filmaffinity.com/es/film294474.html ,294474 ,2023 ,https://pics.filmaffinity.com/oppenheimer-828933592-large.jpg
La sociedad de la nieve                            ,https://www.filmaffinity.com/es/film484144.html ,484144 ,2023 ,https://pics.filmaffinity.com/la_sociedad_de_la_nieve-826551508-large.jpg
